,open,high,low,close,adjclose,volume,ticker
2019-10-31,140.8946533203125,140.93646240234375,136.74749755859375,137.95150756835938,108.7162094116211,3173108,MMM
2019-11-01,139.58193969726562,142.26588439941406,139.3979949951172,142.21571350097656,112.07671356201172,2951010,MMM
2019-11-04,143.49497985839844,146.32107543945312,143.49497985839844,146.23745727539062,115.24618530273438,4954789,MMM
2019-11-05,146.32107543945312,146.7056884765625,145.2926483154297,146.5468292236328,115.489990234375,2756062,MMM
2019-11-06,146.24581909179688,146.32107543945312,144.11370849609375,145.48495483398438,114.6531753540039,3603428,MMM
2019-11-07,146.9314422607422,147.75083923339844,145.3093719482422,145.91973876953125,114.9958038330078,4017125,MMM
2019-11-08,145.9698944091797,146.21237182617188,143.90467834472656,144.7742462158203,114.09305572509766,1932258,MMM
2019-11-11,144.23077392578125,144.23077392578125,141.8478240966797,142.23243713378906,112.08991241455078,3186503,MMM
2019-11-12,142.44146728515625,143.87123107910156,142.16555786132812,142.84280395507812,112.5709457397461,2081518,MMM
2019-11-13,142.23243713378906,143.30267333984375,141.78929138183594,142.60032653808594,112.37982940673828,1960005,MMM
2019-11-14,142.12374877929688,144.08026123046875,142.08193969726562,142.91806030273438,112.63024139404295,1930224,MMM
2019-11-15,143.52842712402344,144.38963317871094,143.01004028320312,143.71237182617188,113.2562255859375,3129812,MMM
2019-11-18,142.80101013183594,143.14381408691406,141.4464874267578,142.59197998046875,112.37328338623048,2828062,MMM
2019-11-19,143.57859802246094,143.57859802246094,141.74749755859375,142.7090301513672,112.46552276611328,2142993,MMM
2019-11-20,141.9648895263672,142.14047241210938,139.7575225830078,140.2759246826172,110.5480499267578,3216642,MMM
2019-11-21,139.53176879882812,139.63211059570312,137.5501708984375,138.07691955566406,109.94367218017578,4312656,MMM
2019-11-22,138.3779296875,140.2592010498047,137.95986938476562,140.13377380371094,111.58145141601562,3908887,MMM
2019-11-25,140.8612060546875,142.44146728515625,140.35952758789062,142.3411407470703,113.33905792236328,3303232,MMM
2019-11-26,141.97325134277344,142.34950256347656,141.06187438964844,141.4966583251953,112.66665649414062,3122636,MMM
2019-11-27,142.14047241210938,143.28594970703125,141.73077392578125,142.65049743652344,113.5854034423828,1592474,MMM
2019-11-29,142.5,142.6254119873047,141.52174377441406,141.9481658935547,113.0261688232422,1127230,MMM
2019-12-02,142.2742462158203,143.56187438964844,140.6688995361328,140.69398498535156,112.02752685546876,2801271,MMM
2019-12-03,139.21405029296875,139.2976531982422,137.45819091796875,138.1020050048828,109.96366119384766,3231592,MMM
2019-12-04,139.14715576171875,141.19564819335938,138.79598999023438,139.74916076660156,111.27519989013672,2558483,MMM
2019-12-05,139.81605529785156,140.35952758789062,136.0535125732422,137.43310546875,109.43106079101562,3957923,MMM
